#node1 node2 weight
deploy take 24
good lunch 24
lunch sister 24
friend sister 24
friend made 24
made turkey 24
sandwich turkey 24
sandwich w 24
discus dud 24
bone president 24
spur threatening 24
action threatening 24
action using 24
real using 24
real soldier 24
afraid soldier 24
afraid one 24
assassinate saudi 24
assassinate u 24
citizen u 56
citizen time 24
droning time 24
business mccarthy 24
business neither 24
maybe well 32
need one 32
became draft 24
proud proud 24
country proud 24
country returned 24
returned u 24
honestly say 96
every say 96
every plan 96
plan solely 96
solely stimulate 96
fresh gave 24
fresh news 24
bin news 24
bin prince 24
know prince 24
sir ur 24
supporter ur 24
greater supporter 24
greater ur 24
enemy ur 24
enemy fear 24
fear go 24
forward go 24
finish forward 24
fox friend 24
arrested friend 24
arrested public 24
indecency public 24
hopeless indecency 24
call monster 24
monster planning 24
attack planning 24
attack killed 24
killed u 32
drone u 24
drone strike 56
know probably 24
probably right 24
person right 24
person tell 40
tell try 24
try understand 32
exasperated iraqi 24
iraqi pm 24
cant pm 24
cant understand 32
understand usa 24
send usa 24
letter send 24
clear letter 24
booth popping 32
ca popping 32
ca movement 32
movement recall 32
gain recall 32
gain steam 32
signed steam 32
pe signed 32
blatant corruption 24
blatant lie 24
international lie 24
international national 24
late thanks 24
genius thanks 24
genius may 24
get may 24
close get 32
close view 24
bomb going 24
bight bomb 24
bight gas 24
gas price 32
going price 32
going state 24
going help 24
judgment trust 96
judgment president 96
leadership trump 104
count leadership 80
big getting 24
big fat 24
fat vote 24
four vote 24
four win 24
win win 48
win year 24
ill year 24
ill never 32
get never 32
get tired 24
con tired 24
killed one 72
iranian thousand 40
force iranian 48
force iran 48
go trump 56
go news 24
news source 24
get source 24
get real 32
real truth 24
straight truth 24
embarrassment international 24
amp embarrassment 24
amp dangerously 24
dangerously unfit 32
incompetent unfit 32
objective season 176
need objective 176
need war 184
hawk war 184
hawk th 176
forget wrote 24
use wrote 24
never supported 24
president supported 24
cant trump 32
vote wait 32
good pup 24
lot sure 24
lot thing 24
discussed thing 24
released want 24
crap released 24
crap show 24
show thank 24
discus stability 32
someone stability 24
clearly someone 24
clearly stable 24
city sanctuary 32
city job 24
job taken 24
president think 40
think time 24
act time 24
act responsibility 24
reconciliation responsibility 24
another dictator 32
dictator phone 24
create phone 24
create problem 24
said whatever 24
freaking said 24
freaking still 24
den lie 24
paper queue 24
paper towel 40
tossing towel 24
stay trump 40
property risk 32
getting risk 32
blown getting 32
blown smithereens 32
smithereens suicide 32
bomber suicide 32
bless heart 24
bad joke 40
joke mocked 40
bullshit really 80
believed really 64
believed case 64
case pushing 64
hi president 24
need president 56
help know 24
know situation 24
driving situation 24
crazy driving 24
keep making 24
america making 40
fake typical 24
fake headline 24
donor headline 24
charged donor 24
charged obstructing 24
inauguration obstructing 24
meeting pig 24
rule set 24
australia love 144
seer trump 24
diddle two 24
diddle twat 24
maybe usa 24
middle usa 24
country east 24
country stopped 24
cutting stopped 24
cutting infant 24
good heaven 24
freaking heaven 24
freaking predictable 24
glad predictable 24
gave glad 24
gave propaganda 24
network propaganda 24
every trump 72
action trump 24
action beneficiary 24
beneficiary either 24
either putin 24
mb putin 33
america mb 24
america going 24
benefit going 24
benefit f 24
criminal yes 24
criminal thug 24
remained thug 24
done remained 24
done lot 24
people want 56
democrat want 24
democrat involved 24
involved witch 24
hunt witch 48
arrested hunt 24
arrested treason 24
job ur 24
friend ur 24
friend president 40
india president 24
citizen india 24
cant citizen 24
apply cant 24
mr right 32
exactly nancy 24
nancy sold 24
sold soul 24
horrendous right 40
horrendous leadership 88
bring leadership 40
bring u 40
rate u 48
rate stop 40
listening stop 40
keep telling 33
blessed trump 24
always blessed 24
there think 24
case there 48
case wait 24
nancy wait 24
nancy sends 24
article sends 24
know people 56
people scared 32
going scared 32
going happen 24
another day 48
another jong 24
jong un 56
another un 24
another boldfaced 24
boldfaced new 24
love new 24
refusing republican 48
hold refusing 48
hold proper 48
proper senate 48
senate trial 56
trial witness 72
testimony witness 40
guy mccarthy 40
guy took 40
thousand took 40
dollar thousand 40
dollar l 40
bad weather 24
better weather 24
better west 24
coast west 32
coast wonder 24
deal wonder 24
deal florida 24
florida jail 24
jail retention 24
people see 56
people watch 48
innocent watch 48
innocent man 56
man patriot 48
hero patriot 48
arrested hero 48
iranian want 32
say want 41
fat understand 24
corrupt fat 24
corrupt crooked 32
journalist killing 32
liar liar 32
liar pant 24
fire pant 24
australia cant 24
afford follow 24
follow war 24
want war 88
stand want 32
foreign minister 56
minister mohammad 24
mohammad say 24
say u 24
act pay 24
boy watcher 24
guy watcher 24
clock guy 24
calendar clock 24
mentioning president 24
american mentioning 24
american killed 81
killed walter 24
iraqi president 56
iraqi people 104
people protesting 80
month protesting 56
dance sabre 24
bestial dance 24
bestial buddy 24
democracy toxic 24
democracy horrible 24
horrible person 24
person sir 24
sir truly 24
horrible truly 24
article urgency 56
article impeachment 72
impeachment nancy 56
control nancy 32
good laugh 32
got laugh 24
away got 24
away murder 32
foreign trump 48
foreign policy 48
credit vote 24
